Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 01:00 AM,2018,12,01,01,19.2,66,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 02:00 AM,2018,12,01,02,18.1,64,Moderate,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 03:00 AM,2018,12,01,03,20.0,68,Moderate,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 04:00 AM,2018,12,01,04,24.0,76,Moderate,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 05:00 AM,2018,12,01,05,24.5,77,Moderate,25.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 06:00 AM,2018,12,01,06,39.7,111,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 07:00 AM,2018,12,01,07,51.8,141,Unhealthy for Sensitive Groups,64.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 08:00 AM,2018,12,01,08,43.9,122,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 09:00 AM,2018,12,01,09,39.9,112,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 10:00 AM,2018,12,01,10,41.4,116,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 11:00 AM,2018,12,01,11,33.2,95,Moderate,25.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 12:00 PM,2018,12,01,12,26.1,80,Moderate,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 01:00 PM,2018,12,01,13,25.0,78,Moderate,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 02:00 PM,2018,12,01,14,22.0,72,Moderate,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 03:00 PM,2018,12,01,15,19.0,66,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 04:00 PM,2018,12,01,16,12.5,52,Moderate,6.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 05:00 PM,2018,12,01,17,16.7,61,Moderate,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 06:00 PM,2018,12,01,18,18.8,65,Moderate,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 07:00 PM,2018,12,01,19,20.9,70,Moderate,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 08:00 PM,2018,12,01,20,22.4,73,Moderate,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 09:00 PM,2018,12,01,21,18.7,65,Moderate,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 10:00 PM,2018,12,01,22,15.8,59,Moderate,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-01 11:00 PM,2018,12,01,23,19.4,66,Moderate,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 12:00 AM,2018,12,02,00,19.7,67,Moderate,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 01:00 AM,2018,12,02,01,20.8,69,Moderate,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 02:00 AM,2018,12,02,02,26.9,82,Moderate,33.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 03:00 AM,2018,12,02,03,21.9,72,Moderate,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 04:00 AM,2018,12,02,04,12.9,53,Moderate,4.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 05:00 AM,2018,12,02,05,6.4,27,Good,0.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 06:00 AM,2018,12,02,06,14.7,56,Moderate,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 07:00 AM,2018,12,02,07,26.3,81,Moderate,38.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 08:00 AM,2018,12,02,08,39.1,110,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 09:00 AM,2018,12,02,09,31.5,92,Moderate,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 10:00 AM,2018,12,02,10,25.7,80,Moderate,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 11:00 AM,2018,12,02,11,20.8,69,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 12:00 PM,2018,12,02,12,19.4,66,Moderate,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 01:00 PM,2018,12,02,13,14.2,55,Moderate,9.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 02:00 PM,2018,12,02,14,12.6,52,Moderate,11.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 03:00 PM,2018,12,02,15,11.8,49,Good,11.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 04:00 PM,2018,12,02,16,11.9,50,Good,12.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 05:00 PM,2018,12,02,17,11.4,48,Good,11.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 06:00 PM,2018,12,02,18,13.2,53,Moderate,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 07:00 PM,2018,12,02,19,15.1,57,Moderate,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 08:00 PM,2018,12,02,20,15.5,58,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 09:00 PM,2018,12,02,21,26.2,81,Moderate,37.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 10:00 PM,2018,12,02,22,24.1,76,Moderate,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-02 11:00 PM,2018,12,02,23,23.5,75,Moderate,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-03 12:00 AM,2018,12,03,00,27.2,83,Moderate,31.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-03 01:00 AM,2018,12,03,01,23.1,74,Moderate,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-03 02:00 AM,2018,12,03,02,30.5,90,Moderate,38.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-03 03:00 AM,2018,12,03,03,38.7,109,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-03 04:00 AM,2018,12,03,04,42.9,119,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-03 05:00 AM,2018,12,03,05,50.4,138,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-03 06:00 AM,2018,12,03,06,47.2,130,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-03 07:00 AM,2018,12,03,07,47.1,130,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-03 08:00 AM,2018,12,03,08,38.0,107,Unhealthy for Sensitive Groups,29.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-03 09:00 AM,2018,12,03,09,33.5,96,Moderate,29.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2018-12-03 10:00 AM,2018,12,03,10,33.2,95,Moderate,33.0,UG/M3,1 Hr,Valid
