Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2019-12-01 01:00 AM,2019,12,01,01,25.2,79,Moderate,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2019-12-01 02:00 AM,2019,12,01,02,23.8,76,Moderate,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2019-12-01 03:00 AM,2019,12,01,03,24.3,77,Moderate,25.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2019-12-01 04:00 AM,2019,12,01,04,18.0,63,Moderate,12.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2019-12-01 05:00 AM,2019,12,01,05,18.0,63,Moderate,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2019-12-01 06:00 AM,2019,12,01,06,21.5,71,Moderate,25.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2019-12-01 07:00 AM,2019,12,01,07,22.2,72,Moderate,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2019-12-01 08:00 AM,2019,12,01,08,23.6,75,Moderate,25.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2019-12-01 09:00 AM,2019,12,01,09,21.3,70,Moderate,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2019-12-01 10:00 AM,2019,12,01,10,22.1,72,Moderate,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2019-12-01 11:00 AM,2019,12,01,11,28.5,85,Moderate,35.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2019-12-01 12:00 PM,2019,12,01,12,40.7,114,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
