Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 01:00 AM,2021,02,01,01,26.4,81,Moderate,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 02:00 AM,2021,02,01,02,30.7,90,Moderate,35.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 03:00 AM,2021,02,01,03,27.3,83,Moderate,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 04:00 AM,2021,02,01,04,24.6,77,Moderate,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 05:00 AM,2021,02,01,05,28.3,85,Moderate,32.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 06:00 AM,2021,02,01,06,28.6,86,Moderate,29.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 07:00 AM,2021,02,01,07,33.8,97,Moderate,39.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 08:00 AM,2021,02,01,08,64.9,156,Unhealthy,96.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 09:00 AM,2021,02,01,09,84.9,166,Unhealthy,105.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 10:00 AM,2021,02,01,10,90.9,169,Unhealthy,97.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 11:00 AM,2021,02,01,11,80.0,164,Unhealthy,69.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 12:00 PM,2021,02,01,12,65.0,156,Unhealthy,50.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 01:00 PM,2021,02,01,13,53.0,144,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 02:00 PM,2021,02,01,14,49.5,135,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 03:00 PM,2021,02,01,15,49.7,136,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 04:00 PM,2021,02,01,16,45.3,125,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 05:00 PM,2021,02,01,17,39.6,111,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 06:00 PM,2021,02,01,18,33.3,96,Moderate,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 07:00 PM,2021,02,01,19,30.6,90,Moderate,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-02-01 08:00 PM,2021,02,01,20,26.3,81,Moderate,22.0,UG/M3,1 Hr,Valid
