"Day","Month","Year","Hour","Site","Parameter","Date__LT_","AQI","Raw_Conc_","Conc__Unit","Duration","QC_Name","AQI_Category","NowCast_Conc_","Date","tempC","windspeedKmph","weatherDesc","humidity","visibility","weatherDescNew","windspeed_Cat","humidity_cat"
1,12,2017,1,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:01:00:00",90,35,"UG/M3","1 Hr","Valid","Moderate",30.5,"01-12-2017",25,6,"Clear",75,10,"Clear","Low","Humid"
1,12,2017,10,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:10:00:00",145,60,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",53.4,"01-12-2017",32,5,"Sunny",59,10,"Sunny","Low","Normal"
1,12,2017,11,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:11:00:00",150,57,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",55.2,"01-12-2017",33,6,"Sunny",56,10,"Sunny","Low","Normal"
1,12,2017,12,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:12:00:00",152,60,"UG/M3","1 Hr","Valid","Unhealthy",57.6,"01-12-2017",33,6,"Sunny",53,10,"Sunny","Low","Normal"
1,12,2017,13,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:13:00:00",136,42,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",49.8,"01-12-2017",33,5,"Sunny",54,10,"Sunny","Low","Normal"
1,12,2017,14,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:14:00:00",114,32,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",40.9,"01-12-2017",33,3,"Cloudy",54,10,"Cloudy","Low","Normal"
1,12,2017,15,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:15:00:00",99,29,"UG/M3","1 Hr","Valid","Moderate",34.9,"01-12-2017",33,2,"Cloudy",55,10,"Cloudy","Low","Normal"
1,12,2017,16,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:16:00:00",98,34,"UG/M3","1 Hr","Valid","Moderate",34.4,"01-12-2017",32,3,"Cloudy",60,10,"Cloudy","Low","Normal"
1,12,2017,17,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:17:00:00",104,39,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",36.7,"01-12-2017",30,3,"Partly cloudy",64,10,"Partly cloudy","Low","Humid"
1,12,2017,18,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:18:00:00",115,46,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",41.3,"01-12-2017",29,4,"Partly cloudy",68,10,"Partly cloudy","Low","Humid"
1,12,2017,19,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:19:00:00",120,45,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",43.1,"01-12-2017",28,6,"Partly cloudy",69,10,"Partly cloudy","Low","Humid"
1,12,2017,2,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:02:00:00",89,30,"UG/M3","1 Hr","Valid","Moderate",30.2,"01-12-2017",25,7,"Clear",76,10,"Clear","Medium","Humid"
1,12,2017,20,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:20:00:00",143,62,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",52.5,"01-12-2017",28,7,"Partly cloudy",69,10,"Partly cloudy","Medium","Humid"
1,12,2017,21,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:21:00:00",151,59,"UG/M3","1 Hr","Valid","Unhealthy",55.7,"01-12-2017",27,9,"Partly cloudy",70,10,"Partly cloudy","Medium","Humid"
1,12,2017,22,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:22:00:00",155,70,"UG/M3","1 Hr","Valid","Unhealthy",62.9,"01-12-2017",27,8,"Partly cloudy",71,10,"Partly cloudy","Medium","Humid"
1,12,2017,23,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:23:00:00",145,44,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",53.4,"01-12-2017",26,7,"Partly cloudy",72,10,"Partly cloudy","Medium","Humid"
1,12,2017,3,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:03:00:00",77,19,"UG/M3","1 Hr","Valid","Moderate",24.6,"01-12-2017",25,7,"Clear",78,10,"Clear","Medium","Humid"
1,12,2017,4,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:04:00:00",88,35,"UG/M3","1 Hr","Valid","Moderate",29.8,"01-12-2017",25,7,"Clear",78,10,"Clear","Medium","Humid"
1,12,2017,5,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:05:00:00",112,50,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",39.9,"01-12-2017",25,7,"Clear",78,10,"Clear","Medium","Humid"
1,12,2017,6,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:06:00:00",106,35,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",37.4,"01-12-2017",25,6,"Sunny",78,10,"Sunny","Low","Humid"
1,12,2017,7,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:07:00:00",94,28,"UG/M3","1 Hr","Valid","Moderate",32.7,"01-12-2017",27,6,"Sunny",73,10,"Sunny","Low","Humid"
1,12,2017,8,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:08:00:00",104,41,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",36.8,"01-12-2017",29,5,"Sunny",67,10,"Sunny","Low","Humid"
1,12,2017,9,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:09:00:00",129,57,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",46.9,"01-12-2017",31,5,"Sunny",62,10,"Sunny","Low","Humid"
1,12,2018,1,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:01:00:00",66,16,"UG/M3","1 Hr","Valid","Moderate",19.2,"01-12-2018",26,4,"Clear",83,10,"Clear","Low","Humid"
1,12,2018,10,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:10:00:00",116,43,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",41.4,"01-12-2018",31,6,"Sunny",65,10,"Sunny","Low","Humid"
1,12,2018,11,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:11:00:00",95,25,"UG/M3","1 Hr","Valid","Moderate",33.2,"01-12-2018",32,6,"Partly cloudy",62,10,"Partly cloudy","Low","Humid"
1,12,2018,12,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:12:00:00",80,19,"UG/M3","1 Hr","Valid","Moderate",26.1,"01-12-2018",32,6,"Partly cloudy",59,10,"Partly cloudy","Low","Normal"
1,12,2018,13,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:13:00:00",78,24,"UG/M3","1 Hr","Valid","Moderate",25,"01-12-2018",32,6,"Partly cloudy",61,9,"Partly cloudy","Low","Humid"
1,12,2018,14,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:14:00:00",72,19,"UG/M3","1 Hr","Valid","Moderate",22,"01-12-2018",32,7,"Moderate or heavy rain shower",63,8,"Moderate or heavy rain shower","Medium","Humid"
1,12,2018,15,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:15:00:00",66,16,"UG/M3","1 Hr","Valid","Moderate",19,"01-12-2018",31,7,"Moderate or heavy rain shower",66,7,"Moderate or heavy rain shower","Medium","Humid"
1,12,2018,16,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:16:00:00",52,6,"UG/M3","1 Hr","Valid","Moderate",12.5,"01-12-2018",30,8,"Moderate or heavy rain shower",70,7,"Moderate or heavy rain shower","Medium","Humid"
1,12,2018,17,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:17:00:00",61,21,"UG/M3","1 Hr","Valid","Moderate",16.7,"01-12-2018",29,8,"Moderate or heavy rain shower",75,7,"Moderate or heavy rain shower","Medium","Humid"
1,12,2018,18,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:18:00:00",65,21,"UG/M3","1 Hr","Valid","Moderate",18.8,"01-12-2018",28,9,"Moderate or heavy rain shower",79,7,"Moderate or heavy rain shower","Medium","Humid"
1,12,2018,19,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:19:00:00",70,23,"UG/M3","1 Hr","Valid","Moderate",20.9,"01-12-2018",27,9,"Moderate or heavy rain shower",80,8,"Moderate or heavy rain shower","Medium","Humid"
1,12,2018,2,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:02:00:00",64,17,"UG/M3","1 Hr","Valid","Moderate",18.1,"01-12-2018",26,4,"Clear",84,10,"Clear","Low","Humid"
